similarity,p0,p1,prob
0.9996395111083984,6.748430652451772e-07,0.0,3.374215326225886e-07
0.9996431524103339,6.788230294785689e-07,0.0,3.3941151473928446e-07
0.9996467937122692,6.825244394938672e-07,0.0,3.412622197469336e-07
0.9996504350142046,6.859435084364193e-07,0.0,3.4297175421820963e-07
0.9996540763161399,6.893342754235097e-07,0.0,3.4466713771175487e-07
0.9996577176180753,6.924119269339238e-07,0.0,3.462059634669619e-07
0.9996613589200106,6.953764420368967e-07,0.0,3.4768822101844834e-07
0.999665000221946,6.980607871333436e-07,0.0,3.490303935666718e-07
0.9996686415238814,7.005626919541776e-07,0.0,3.502813459770888e-07
0.9996722828258168,7.027115530698306e-07,0.0,3.513557765349153e-07
0.9996759241277521,7.069905814714737e-07,0.0,3.5349529073573684e-07
0.9996795654296875,7.111814074422289e-07,0.0,3.5559070372111444e-07
0.9996832067316229,7.150963270507353e-07,0.0,3.5754816352536766e-07
0.9996868480335582,7.186055602823832e-07,0.0,3.593027801411916e-07
0.9996904893354936,7.218470622629183e-07,0.0,3.6092353113145917e-07
0.999694130637429,7.247679293090353e-07,0.0,3.6238396465451763e-07
0.9996977719393644,7.274065700816223e-07,0.0,3.6370328504081117e-07
0.9997014132412997,7.29903032382148e-07,0.0,3.64951516191074e-07
0.9997050545432351,7.321936007743679e-07,0.0,3.6609680038718396e-07
0.9997086958451704,7.343831585379019e-07,0.0,3.6719157926895097e-07
0.9997123371471058,7.365413637947201e-07,0.0,3.6827068189736003e-07
0.9997159784490411,7.385289832006813e-07,0.0,3.6926449160034063e-07
0.9997196197509766,7.403502745218817e-07,0.0,3.7017513726094087e-07
0.999723261052912,7.426214984468072e-07,0.0,3.713107492234036e-07
0.9997269023548473,7.496015867566389e-07,0.0,3.7480079337831944e-07
0.9997305436567827,7.599731273502168e-07,0.0,3.799865636751084e-07
0.999734184958718,7.701140307845382e-07,0.0,3.850570153922691e-07
0.9997378262606534,7.831031401652818e-07,0.0,3.915515700826409e-07
0.9997414675625887,8.075352731407308e-07,0.0,4.037676365703654e-07
0.9997451088645242,8.434939205175679e-07,0.0,4.2174696025878393e-07
0.9997487501664595,8.91394301137954e-07,0.0,4.45697150568977e-07
0.9997523914683949,9.463844800516347e-07,0.0,4.7319224002581734e-07
0.9997560327703302,1.0367356925290752e-06,0.0,5.183678462645376e-07
0.9997596740722656,1.1841228077446369e-06,0.0,5.920614038723184e-07
0.999763315374201,1.4343004343061716e-06,0.0,7.171502171530858e-07
0.9997669566761364,1.8781000388766708e-06,0.0,9.390500194383354e-07
0.9997705979780718,2.9872593389195083e-06,0.0,1.4936296694597542e-06
0.9997742392800071,3.6884104610697496e-06,0.0,1.8442052305348748e-06
0.9997778805819425,3.851350206355344e-06,3.4662151857198097e-06,3.658782696037577e-06
0.9997815218838778,3.851350206355344e-06,3.4662151857198097e-06,3.658782696037577e-06
0.9997851631858132,3.851350206355344e-06,3.4662151857198097e-06,3.658782696037577e-06
0.9997888044877485,3.851350206355344e-06,3.4662151857198097e-06,3.658782696037577e-06
0.999792445789684,3.851350206355344e-06,3.4662151857198097e-06,3.658782696037577e-06
0.9997960870916193,4.061565205383199e-06,3.4662151857198097e-06,3.763890195551504e-06
0.9997997283935547,5.112256635283092e-06,3.4662151857198097e-06,4.289235910501451e-06
0.9998033696954901,1.190218309842391e-05,3.4662151857198097e-06,7.68419914207186e-06
0.9998070109974254,1.741071510388699e-05,1.649436167736662e-05,1.6952538390626802e-05
0.9998106522993608,1.769880179111874e-05,1.649436167736662e-05,1.709658173424268e-05
0.9998142936012961,1.769880179111874e-05,1.649436167736662e-05,1.709658173424268e-05
0.9998179349032316,1.94276611038797e-05,1.8365087444052075e-05,1.8896374273965888e-05
0.9998215762051669,1.94276611038797e-05,1.8365087444052075e-05,1.8896374273965888e-05
0.9998252175071023,2.4443901246638963e-05,1.8716427408336294e-05,2.158016432748763e-05
0.9998288588090376,5.056913260146007e-05,4.349717268377556e-05,4.703315264261781e-05
0.999832500110973,7.409602845287492e-05,4.998453603416443e-05,6.204028224351968e-05
0.9998361414129083,8.583302139388058e-05,8.344877079960613e-05,8.464089609674336e-05
0.9998397827148438,0.00027280225687702393,0.00026959281856082365,0.0002711975377189238
0.9998434240167792,0.0004398206884885393,0.0004341819617130452,0.0004370013251007922
0.9998470653187145,0.0006430690931807116,0.0006384757425151351,0.0006407724178479233
0.9998507066206499,0.0006753318839909339,0.000666080762292428,0.0006707063231416809
0.9998543479225852,0.0008165765030111259,0.0007145044401347351,0.0007655404715729305
0.9998579892245206,0.0009772559239277635,0.0009719486605131376,0.0009746022922204505
0.9998616305264559,0.0014098967521763023,0.001402666512421552,0.001406281632298927
0.9998652718283914,0.0015136531514258612,0.001402666512421552,0.0014581598319237067
0.9998689131303267,0.0016359472134365798,0.0016177700221761734,0.0016268586178063765
0.9998725544322621,0.0023693389982961236,0.0023620262236100243,0.0023656826109530738
0.9998761957341974,0.0023693389982961236,0.0023620262236100243,0.0023656826109530738
0.9998798370361328,0.003426124197002141,0.00339318069510789,0.003409652446055016
0.9998834783380682,0.005251641137855579,0.005105762217359592,0.0051787016776075855
0.9998871196400035,0.008552779653387351,0.008496511366194013,0.008524645509790683
0.999890760941939,0.009699141286217334,0.009637363316241428,0.00966825230122938
0.9998944022438743,0.011903688339796194,0.011813508882676526,0.01185859861123636
0.9998980435458097,0.013436790310370931,0.013247539742619227,0.01334216502649508
0.999901684847745,0.015244107178832853,0.015176952521657378,0.015210529850245114
0.9999053261496804,0.027550610001340663,0.027485380116959064,0.027517995059149862
0.9999089674516157,0.027550610001340663,0.027485380116959064,0.027517995059149862
0.9999126087535511,0.04776579352850539,0.04562268803945746,0.046694240783981426
0.9999162500554865,0.06948640483383686,0.06915072171869754,0.0693185632762672
0.9999198913574219,0.09749074454956808,0.09707939119703826,0.09728506787330317
0.9999235326593573,0.10254219183935057,0.10232856227301859,0.10243537705618458
0.9999271739612926,0.1531272465851905,0.15298346513299785,0.1530553558590942
0.999930815263228,0.1531272465851905,0.15298346513299785,0.1530553558590942
0.9999344565651633,0.24078986147951664,0.24049513704686118,0.24064249926318892
0.9999380978670988,0.2879684418145957,0.2869822485207101,0.2874753451676529
0.9999417391690341,0.32297297297297295,0.3225225225225225,0.3227477477477477
0.9999453804709695,0.36793893129770994,0.36717557251908395,0.36755725190839694
0.9999490217729048,0.40901639344262297,0.4081967213114754,0.4086065573770492
0.9999526630748402,0.43523702874206793,0.43486375513251213,0.43505039193729
0.9999563043767755,0.5263157894736842,0.5253227408142999,0.525819265143992
0.9999599456787109,0.5692771084337349,0.5684357541899442,0.5688564313118396
0.9999635869806464,0.6711309523809523,0.6703869047619047,0.6707589285714285
0.9999672282825817,0.6711309523809523,0.6703869047619048,0.6707589285714286
0.9999708695845171,0.7367038739330269,0.7360472751149048,0.7363755745239658
0.9999745108864524,0.7367038739330269,0.7360472751149048,0.7363755745239658
0.9999781521883878,0.7856115107913669,0.7841726618705036,0.7848920863309352
0.9999817934903231,0.8173913043478261,0.8093126385809313,0.8133519714643787
0.9999854347922585,0.8904761904761904,0.8857142857142857,0.888095238095238
0.9999890760941939,0.9708029197080292,0.9671532846715328,0.968978102189781
0.9999927173961293,0.9832402234636871,0.9714285714285714,0.9773343974461293
0.9999963586980646,0.9832402234636871,0.9776536312849162,0.9804469273743017
1.0,1.0,0.9824561403508771,0.9912280701754386
